,cycle,p.DCTL1.prog,p.DCTL1.death,p.ABL1.prog,p.ABL1.death,p.DCTL2.prog,p.DCTL2.death,p.ABL2.prog,p.ABL2.death,p.PD.death,cif.ABL2.prog,cif.ABL2.death,cif.DCTL2.prog,cif.DCTL2.death,cif.PD.death
1,1,0,0,0.003364188,0.003361345,0,0,0,0,0.009966777,0,0,0,0,0.009966777
2,2,0,0,0,0,0.004210639,0,0,0,0.010067114,0,0,0.004210639,0,0.019933555
3,3,0.005102041,0,0,0.008544584,0.022251699,0.002228071,0.060345066,0,0.013559322,0.060345066,0,0.026368643,0.002228071,0.033222591
4,4,0,0,0.003451857,0.003472458,0.058586104,0.006913147,0.002028398,0,0.012027491,0.06225106,0,0.083409911,0.009125815,0.044850498
5,5,0.007772125,0,0.005240297,0.003521628,0.00544775,0.002502246,0.020665889,0,0.036521739,0.081630475,0,0.088403264,0.011605225,0.079734219
6,6,0.005249344,0,0.019395966,0.003540362,0.017939417,0.005524682,0.040220218,0.003891629,0.028880866,0.118567498,0.003891629,0.104756778,0.017065792,0.106312292
7,7,0.005284062,0.002590986,0,0,0.042040724,0.005842192,0,0.005939119,0.050185874,0.118567498,0.009807635,0.142393451,0.022808283,0.151162791
8,8,0.018666931,0.002611589,0.001833085,0.001816357,0,0.003187623,0.068296676,0,0.033268102,0.178766408,0.009807635,0.142393451,0.025923202,0.179401993
9,9,0.016356865,0.002625601,0.001843394,0.003670474,0,0.003761308,0.022146543,0.004066814,0.052631579,0.196953893,0.013834563,0.142393451,0.029587005,0.222591362
10,10,0.013921104,0,0.011219639,0,0.0465177,0.020650821,0.005092085,0,0.044871795,0.201043072,0.013834563,0.182287336,0.04962683,0.257475083
11,11,0.022722185,0.002662495,0.057454439,0.011269585,0.010613674,0,0.007806269,0.004190192,0.029082774,0.207279945,0.017966786,0.190966272,0.04962683,0.279069767
12,12,0.023328147,0,0,0,0.020547962,0.023045354,0.096037415,0,0.029953917,0.283410729,0.017966786,0.207590266,0.071528517,0.300664452
13,13,0.030028893,0,0.006188335,0,0.11638549,0.007081818,0.020761686,0.006507114,0.052256532,0.29828833,0.024356988,0.299815261,0.078103783,0.337209302
14,14,0.018697676,0.002710771,0,0,0.064079428,0,0.009252451,0.006676176,0.045112782,0.304780883,0.030870552,0.344682698,0.078103783,0.367109635
15,15,0.01905394,0.002718139,0,0,0,0.015652888,0,0,0.026246719,0.304780883,0.030870552,0.344682698,0.092534121,0.38372093
16,16,0.029363347,0,0.070549321,0.003981551,0.026863576,0.057591551,0.078536716,0.004616233,0.040431267,0.35938111,0.03534428,0.362286864,0.144796489,0.408637874
